"id","url","base_url","external_ref","hotel_id_booking","status","priority","retry_count","max_retries","last_error","created_at","updated_at","scraped_at","version_id"
"38074f00-bbc2-4385-b8bd-ebb20bc1b28b","https://www.booking.com/hotel/br/colonna-park.html","https://www.booking.com/hotel/br/colonna-park.html",NULL,NULL,"done",5,0,3,NULL,"2026-03-11 17:55:05.679656+00","2026-03-11 18:19:38.28089+00","2026-03-11 18:19:38.281974+00",1
"dc21eb93-509f-48cc-a5d2-3d3e7e723073","https://www.booking.com/hotel/br/manaus-hoteis-millennium.html","https://www.booking.com/hotel/br/manaus-hoteis-millennium.html",NULL,NULL,"done",5,0,3,NULL,"2026-03-11 17:55:05.676553+00","2026-03-11 18:21:07.535613+00","2026-03-11 18:21:07.536484+00",1
"0455e797-537e-427d-a64d-6f25c7eedf98","https://www.booking.com/hotel/br/atlac-ntico-rio.html","https://www.booking.com/hotel/br/atlac-ntico-rio.html",NULL,NULL,"done",5,0,3,NULL,"2026-03-11 17:55:05.681696+00","2026-03-11 18:43:56.350125+00","2026-03-11 18:43:56.350941+00",1
"263b9212-ec76-4506-a761-797d58fbdb5a","https://www.booking.com/hotel/uy/golden-beach-resort-spa.html","https://www.booking.com/hotel/uy/golden-beach-resort-spa.html",NULL,NULL,"done",5,0,3,NULL,"2026-03-11 17:55:05.683939+00","2026-03-11 18:45:26.439294+00","2026-03-11 18:45:26.440149+00",1
"5b5712e9-5190-40c4-b39b-f6eba8ea378f","https://www.booking.com/hotel/sc/garden-hill-resort-amp-spa.html","https://www.booking.com/hotel/sc/garden-hill-resort-amp-spa.html",NULL,NULL,"done",5,0,3,NULL,"2026-03-11 17:55:05.685468+00","2026-03-11 19:32:26.441618+00","2026-03-11 19:32:26.442408+00",1
"2c5448ff-4748-458b-a605-44e90c8235ed","https://www.booking.com/hotel/sc/cb-seychelles.html","https://www.booking.com/hotel/sc/cb-seychelles.html",NULL,NULL,"done",5,0,3,NULL,"2026-03-11 17:55:05.686906+00","2026-03-11 20:29:59.843683+00","2026-03-11 20:29:59.844689+00",1
"edb12ad5-3f61-4b3a-9f33-3beceb14aa70","https://www.booking.com/hotel/sc/avani-seychelles-barbarons-resort-amp-spa.html","https://www.booking.com/hotel/sc/avani-seychelles-barbarons-resort-amp-spa.html",NULL,NULL,"done",5,0,3,NULL,"2026-03-11 17:55:05.688174+00","2026-03-11 20:31:29.195537+00","2026-03-11 20:31:29.196213+00",1
"0130cbaa-27fc-482b-b06c-bb37176df3b0","https://www.booking.com/hotel/bb/leroy.html","https://www.booking.com/hotel/bb/leroy.html",NULL,NULL,"done",5,0,3,NULL,"2026-03-11 17:55:05.689253+00","2026-03-11 20:54:26.315239+00","2026-03-11 20:54:26.316155+00",1
"6a1f1d51-4be4-45b3-94e3-3e4b3b20d7eb","https://www.booking.com/hotel/bs/the-island-garden.html","https://www.booking.com/hotel/bs/the-island-garden.html",NULL,NULL,"done",5,0,3,NULL,"2026-03-11 17:55:05.690276+00","2026-03-11 20:55:56.048651+00","2026-03-11 20:55:56.049555+00",1
"73e3a630-4a7e-47c7-b501-41d17cc307af","https://www.booking.com/hotel/tc/grace-bay-club.html","https://www.booking.com/hotel/tc/grace-bay-club.html",NULL,NULL,"done",5,0,3,NULL,"2026-03-11 17:55:05.691321+00","2026-03-11 21:18:58.568057+00","2026-03-11 21:18:58.569119+00",1
"d4bdb11a-abe1-4e83-9427-229d91b2154c","https://www.booking.com/hotel/tc/south-bank.html","https://www.booking.com/hotel/tc/south-bank.html",NULL,NULL,"done",5,0,3,NULL,"2026-03-11 17:55:05.692357+00","2026-03-11 21:20:26.671279+00","2026-03-11 21:20:26.672052+00",1
"21d8d55e-3aa5-41bc-881a-a60debe558e9","https://www.booking.com/hotel/vc/the-pink-sands-club.html","https://www.booking.com/hotel/vc/the-pink-sands-club.html",NULL,NULL,"done",5,0,3,NULL,"2026-03-11 17:55:05.693393+00","2026-03-11 21:43:25.69465+00","2026-03-11 21:43:25.695342+00",1
"a95c24ce-1dae-495e-9021-ca136f1417c7","https://www.booking.com/hotel/mv/niyama-private-islands-maldives.html","https://www.booking.com/hotel/mv/niyama-private-islands-maldives.html",NULL,NULL,"done",5,0,3,NULL,"2026-03-11 17:55:05.694364+00","2026-03-11 21:45:03.037788+00","2026-03-11 21:45:03.038574+00",1
"6d3e5643-0c9e-461f-85f1-7bf4e94d2107","https://www.booking.com/hotel/mv/ananea-madivaru-maldives.html","https://www.booking.com/hotel/mv/ananea-madivaru-maldives.html",NULL,NULL,"done",5,0,3,NULL,"2026-03-11 17:55:05.695318+00","2026-03-11 22:07:59.131817+00","2026-03-11 22:07:59.13261+00",1
"122f9842-2f96-424f-a3b7-bd3cfa474811","https://www.booking.com/hotel/mv/cocomo-maldives-k-himmafushi.html","https://www.booking.com/hotel/mv/cocomo-maldives-k-himmafushi.html",NULL,NULL,"done",5,0,3,NULL,"2026-03-11 17:55:05.696312+00","2026-03-11 22:09:27.98681+00","2026-03-11 22:09:27.987777+00",1
"1f5562bb-8810-49db-97e3-710be0b7d3d9","https://www.booking.com/hotel/mv/cheval-blanc-randheli-noonu-atoll.html","https://www.booking.com/hotel/mv/cheval-blanc-randheli-noonu-atoll.html",NULL,NULL,"done",5,0,3,NULL,"2026-03-11 17:55:05.697568+00","2026-03-11 22:32:24.131465+00","2026-03-11 22:32:24.132179+00",1
"1d849961-c19b-49c7-9b82-8ddc6ffea87e","https://www.booking.com/hotel/mv/icom-blue-seaview.html","https://www.booking.com/hotel/mv/icom-blue-seaview.html",NULL,NULL,"done",5,0,3,NULL,"2026-03-11 17:55:05.699745+00","2026-03-11 22:33:52.80306+00","2026-03-11 22:33:52.803882+00",1
"85fd1bbd-d7fb-49f7-ab14-c7aa034ccfd7","https://www.booking.com/hotel/mv/eri-maldives.html","https://www.booking.com/hotel/mv/eri-maldives.html",NULL,NULL,"done",5,0,3,NULL,"2026-03-11 17:55:05.701262+00","2026-03-11 22:56:45.582118+00","2026-03-11 22:56:45.582854+00",1
"3f62f76c-187c-45f6-a63e-d6495d76cc32","https://www.booking.com/hotel/mv/dusitd2-feydhoo-maldives-all-inclusive-resort.html","https://www.booking.com/hotel/mv/dusitd2-feydhoo-maldives-all-inclusive-resort.html",NULL,NULL,"done",5,0,3,NULL,"2026-03-11 17:55:05.702341+00","2026-03-11 22:58:15.428623+00","2026-03-11 22:58:15.429411+00",1
"795b8fd9-c245-492f-868c-545303efe6d8","https://www.booking.com/hotel/mv/centara-grand-lagoon-maldives.html","https://www.booking.com/hotel/mv/centara-grand-lagoon-maldives.html",NULL,NULL,"done",5,0,3,NULL,"2026-03-11 17:55:05.703212+00","2026-03-11 23:15:44.472503+00","2026-03-11 23:15:44.473353+00",1
"d070698b-389f-4008-bae1-f8ea9121b717","https://www.booking.com/hotel/at/daniel-vienna.html","https://www.booking.com/hotel/at/daniel-vienna.html",NULL,NULL,"pending",5,0,3,NULL,"2026-03-12 00:16:29.666185+00","2026-03-12 00:16:29.666187+00",NULL,1
"ffa17b41-3976-4252-8581-9448790df391","https://www.booking.com/hotel/at/motel-one-wien-hauptbahnhof-wien17.html","https://www.booking.com/hotel/at/motel-one-wien-hauptbahnhof-wien17.html",NULL,NULL,"done",5,0,3,NULL,"2026-03-12 00:16:29.601418+00","2026-03-12 01:07:37.942663+00","2026-03-12 01:07:37.943493+00",1
"a731d042-0f1d-495f-baaa-e21965bafbd8","https://www.booking.com/hotel/at/motel-one-wien-westbahnhof.html","https://www.booking.com/hotel/at/motel-one-wien-westbahnhof.html",NULL,NULL,"done",5,0,3,NULL,"2026-03-12 00:16:29.602625+00","2026-03-12 01:09:06.71786+00","2026-03-12 01:09:06.718753+00",1
"460fbbec-a136-46f5-be4b-d47316fb2304","https://www.booking.com/hotel/at/ibis-wien-sankt-marx.html","https://www.booking.com/hotel/at/ibis-wien-sankt-marx.html",NULL,NULL,"done",5,0,3,NULL,"2026-03-12 00:16:29.603685+00","2026-03-12 01:31:49.442773+00","2026-03-12 01:31:49.443672+00",1
"b1128ca6-93d6-455d-8fb5-47d7ccc3ee15","https://www.booking.com/hotel/at/leonardo-vienna.html","https://www.booking.com/hotel/at/leonardo-vienna.html",NULL,NULL,"done",5,0,3,NULL,"2026-03-12 00:16:29.604925+00","2026-03-12 01:33:17.733992+00","2026-03-12 01:33:17.734807+00",1
"72c068cb-5127-4682-8fa0-89fe07b33234","https://www.booking.com/hotel/at/the-social-hub-vienna.html","https://www.booking.com/hotel/at/the-social-hub-vienna.html",NULL,NULL,"done",5,0,3,NULL,"2026-03-12 00:16:29.607552+00","2026-03-12 02:26:30.343064+00","2026-03-12 02:26:30.344065+00",1
"928ba874-b2a2-4024-9501-db316f8994ab","https://www.booking.com/hotel/at/acom-vienna.html","https://www.booking.com/hotel/at/acom-vienna.html",NULL,NULL,"done",5,0,3,NULL,"2026-03-12 00:16:29.606259+00","2026-03-12 03:15:40.033129+00","2026-03-12 03:15:40.037646+00",1
"31c7ff8d-f3f0-495d-9151-cd5a501bc01b","https://www.booking.com/hotel/at/b-amp-b-wien-hbf.html","https://www.booking.com/hotel/at/b-amp-b-wien-hbf.html",NULL,NULL,"done",5,0,3,NULL,"2026-03-12 00:16:29.610063+00","2026-03-12 03:20:06.914895+00","2026-03-12 03:20:06.915756+00",1
"f1589215-2c7a-41d2-8718-c6f7d3dfe6e7","https://www.booking.com/hotel/at/hilton-vienna.html","https://www.booking.com/hotel/at/hilton-vienna.html",NULL,NULL,"done",5,0,3,NULL,"2026-03-12 00:16:29.611796+00","2026-03-12 03:40:24.89601+00","2026-03-12 03:40:24.896856+00",1
"05b45907-3c73-4a06-83c6-6340fa910f2f","https://www.booking.com/hotel/at/superbude-hostel-wien-prater.html","https://www.booking.com/hotel/at/superbude-hostel-wien-prater.html",NULL,NULL,"done",5,0,3,NULL,"2026-03-12 00:16:29.612964+00","2026-03-12 03:44:55.116471+00","2026-03-12 03:44:55.117257+00",1
"5ed56675-6656-402d-a54f-5bf39395ed24","https://www.booking.com/hotel/at/atlantishotelvienna.html","https://www.booking.com/hotel/at/atlantishotelvienna.html",NULL,NULL,"done",5,0,3,NULL,"2026-03-12 00:16:29.613944+00","2026-03-12 04:04:47.496686+00","2026-03-12 04:04:47.497488+00",1
"3fd88ad7-e5b7-47a5-bae2-edb8492d9ee1","https://www.booking.com/hotel/at/imlauer-nestroy.html","https://www.booking.com/hotel/at/imlauer-nestroy.html",NULL,NULL,"done",5,0,3,NULL,"2026-03-12 00:16:29.614857+00","2026-03-12 04:09:15.181299+00","2026-03-12 04:09:15.182001+00",1
"0bf842c0-495f-45b8-8df6-860c088e6f21","https://www.booking.com/hotel/at/ibis-wien-hauptbahnhof.html","https://www.booking.com/hotel/at/ibis-wien-hauptbahnhof.html",NULL,NULL,"done",5,0,3,NULL,"2026-03-12 00:16:29.615811+00","2026-03-12 04:29:12.389284+00","2026-03-12 04:29:12.390298+00",1
"129a52c9-ec97-485a-b827-6c31fa5eef15","https://www.booking.com/hotel/at/leonardo-wien-otto-wagner.html","https://www.booking.com/hotel/at/leonardo-wien-otto-wagner.html",NULL,NULL,"done",5,0,3,NULL,"2026-03-12 00:16:29.616725+00","2026-03-12 04:33:40.927621+00","2026-03-12 04:33:40.928517+00",1
"8d5d6072-974f-43c0-b83d-ac5403aa3c99","https://www.booking.com/hotel/at/ibis-budget-wien-messe.html","https://www.booking.com/hotel/at/ibis-budget-wien-messe.html",NULL,NULL,"done",5,0,3,NULL,"2026-03-12 00:16:29.617606+00","2026-03-12 04:54:08.827258+00","2026-03-12 04:54:08.828194+00",1
"8654b2cb-f9ee-420e-8202-32ff90a8f943","https://www.booking.com/hotel/at/austria-trend-beim-theresianum.html","https://www.booking.com/hotel/at/austria-trend-beim-theresianum.html",NULL,NULL,"pending",5,0,3,NULL,"2026-03-12 00:16:29.651213+00","2026-03-12 00:16:29.651214+00",NULL,1
"c9638737-f0f0-4c44-bdaa-09eee057db03","https://www.booking.com/hotel/at/radisson-red-vienna.html","https://www.booking.com/hotel/at/radisson-red-vienna.html",NULL,NULL,"pending",5,0,3,NULL,"2026-03-12 00:16:29.652174+00","2026-03-12 00:16:29.652176+00",NULL,1
"3171feff-48fa-4f59-b99c-8c819f2c007f","https://www.booking.com/hotel/at/austriatrendmesse.html","https://www.booking.com/hotel/at/austriatrendmesse.html",NULL,NULL,"pending",5,0,3,NULL,"2026-03-12 00:16:29.653087+00","2026-03-12 00:16:29.653089+00",NULL,1
"b6225eb5-34d5-4628-b7e2-1ab819ba5a52","https://www.booking.com/hotel/at/lenas-west.html","https://www.booking.com/hotel/at/lenas-west.html",NULL,NULL,"pending",5,0,3,NULL,"2026-03-12 00:16:29.65396+00","2026-03-12 00:16:29.653962+00",NULL,1
"7dfb3730-8c8c-43ab-98a1-703d77628c63","https://www.booking.com/hotel/at/caroline.html","https://www.booking.com/hotel/at/caroline.html",NULL,NULL,"pending",5,0,3,NULL,"2026-03-12 00:16:29.654838+00","2026-03-12 00:16:29.65484+00",NULL,1
"9e79b90d-71f8-48bb-a39a-762bba23e4e2","https://www.booking.com/hotel/at/fleming-s-wien-westbahnhof.html","https://www.booking.com/hotel/at/fleming-s-wien-westbahnhof.html",NULL,NULL,"pending",5,0,3,NULL,"2026-03-12 00:16:29.655732+00","2026-03-12 00:16:29.655733+00",NULL,1
"9b56e980-ca8a-4485-b747-6d105c1f09c4","https://www.booking.com/hotel/at/kolpingwienzentral.html","https://www.booking.com/hotel/at/kolpingwienzentral.html",NULL,NULL,"pending",5,0,3,NULL,"2026-03-12 00:16:29.656657+00","2026-03-12 00:16:29.656658+00",NULL,1
"d5528630-83f3-4141-8bf0-b7674ccfbc36","https://www.booking.com/hotel/at/westbahwieneuropapl.html","https://www.booking.com/hotel/at/westbahwieneuropapl.html",NULL,NULL,"pending",5,0,3,NULL,"2026-03-12 00:16:29.657921+00","2026-03-12 00:16:29.657924+00",NULL,1
"4e93091e-c2f4-44f9-85b4-cad0b7088208","https://www.booking.com/hotel/at/novotel-wien-hauptbahnhof.html","https://www.booking.com/hotel/at/novotel-wien-hauptbahnhof.html",NULL,NULL,"pending",5,0,3,NULL,"2026-03-12 00:16:29.660312+00","2026-03-12 00:16:29.66032+00",NULL,1
"97e5b688-bc28-487f-8e5e-3e1753389088","https://www.booking.com/hotel/at/rainers.html","https://www.booking.com/hotel/at/rainers.html",NULL,NULL,"pending",5,0,3,NULL,"2026-03-12 00:16:29.661606+00","2026-03-12 00:16:29.661608+00",NULL,1
"8926971e-8efe-4770-af90-c966d4fc3ce8","https://www.booking.com/hotel/at/schloss.html","https://www.booking.com/hotel/at/schloss.html",NULL,NULL,"pending",5,0,3,NULL,"2026-03-12 00:16:29.662597+00","2026-03-12 00:16:29.662599+00",NULL,1
"c4e3f51d-7025-44d5-85bb-0e01e052ad7a","https://www.booking.com/hotel/at/h-wien-wien.html","https://www.booking.com/hotel/at/h-wien-wien.html",NULL,NULL,"pending",5,0,3,NULL,"2026-03-12 00:16:29.663551+00","2026-03-12 00:16:29.663553+00",NULL,1
"975c331d-04e7-4bbf-afd7-8f4b7a9ed09b","https://www.booking.com/hotel/at/hotelbellevue.html","https://www.booking.com/hotel/at/hotelbellevue.html",NULL,NULL,"pending",5,0,3,NULL,"2026-03-12 00:16:29.664433+00","2026-03-12 00:16:29.664435+00",NULL,1
"c4d88e95-8d8d-4715-b081-1faa9b8a4f77","https://www.booking.com/hotel/at/hotel-das-tigra.html","https://www.booking.com/hotel/at/hotel-das-tigra.html",NULL,NULL,"pending",5,0,3,NULL,"2026-03-12 00:16:29.665329+00","2026-03-12 00:16:29.665331+00",NULL,1
"2fda850a-50ab-4156-b598-b892f0fb6058","https://www.booking.com/hotel/at/allalenz.html","https://www.booking.com/hotel/at/allalenz.html",NULL,NULL,"done",5,0,3,NULL,"2026-03-12 00:16:29.625986+00","2026-03-12 05:18:34.070497+00","2026-03-12 05:18:34.071236+00",1
